,名稱,註冊號碼,地址,統編,緯度,經度,日期
46,華昇食品工廠股份有限公司,99600865,新北市瑞芳區頂坪路一三五號,33853036,121.79301,25.10205,中華民國59年08月23日 03:38:51
47,欣和興食品股份有限公司,99608390,新北市樹林區佳園路一段90號,16247280,121.39339,24.96933,中華民國59年08月23日 03:38:51
48,寒山物產商業有限公司,99618736,新北市中和區安邦街一四號,34342809,121.49581,24.99821,中華民國59年08月23日 03:38:51
49,松記食品工業有限公司,99611202,新北市新莊區頭前路二巷七號,36031978,121.46834,25.05319,中華民國59年08月23日 03:38:51
50,中立食品工業股份有限公司新莊二廠,99610930,新北市新莊區思源路84巷5號,27005133,121.46074,25.04542,中華民國59年08月23日 03:38:51
51,臺灣威化企業有限公司,99601779,新北市新莊區頭前路一九號三樓,2082674,121.46801,25.05258,中華民國59年08月23日 03:38:51
52,佑福食品有限公司,99601668,新北市泰山區明志路三段四０七巷五號,86272368,121.42164,25.03389,中華民國59年08月23日 03:38:51
53,雙氏企業有限公司,99605164,新北市汐止區連興街一四八巷一號一樓,39611134,121.65392,25.06123,中華民國59年08月23日 03:38:51
54,立基食品股份有限公司瑞芳一廠,99602072,新北市瑞芳區頂坪路一二號,30888763,121.79122,25.09768,中華民國59年08月23日 03:38:51
55,頂昌企業有限公司,99607109,新北市土城區永豐路一九五巷二三號,23832998,121.47412,24.97958,中華民國59年08月23日 03:38:51
56,智慧餅店,99690087,新北市板橋區三民路二段二四五巷四弄一四號一樓,8542387,121.48055,25.01225,中華民國59年08月23日 03:38:51
57,口洛佳食品實業有限公司,99606737,新北市新店區安泰路六０巷九０弄七八號,86611732,121.48365,24.94465,中華民國59年08月23日 03:38:51
58,三豐食品工廠,99604702,新北市新莊區化成路一００之一號,1995321,121.46535,25.04413,中華民國59年08月23日 03:38:51
59,吉美食品廠,99607282,新北市板橋區觀光街六一號,34110272,121.47041,25.01643,中華民國59年08月23日 03:38:51
60,伍弘實業有限公司,99604376,新北市板橋區大觀路三段三六巷八九弄八號,34113502,121.434,24.99804,中華民國59年08月23日 03:38:51
61,金瑞珍糕餅店,99689933,新北市瑞芳區中正路八八號,33868657,121.80536,25.10776,中華民國59年08月23日 03:38:51
62,聯淳國際股份有限公司,99606854,新北市中和區中山路二段三八０巷三號,97014959,121.49098,25.00366,中華民國59年08月23日 03:38:51
63,上好食品廠有限公司,99619158,新北市汐止區大同路一段一四六巷一二號,23108926,121.63193,25.05479,中華民國59年08月23日 03:38:51
64,茄苳實業廠有限公司,99618202,新北市三重區自強路四段三一巷八號一樓,36363526,121.48947,25.07686,中華民國59年08月23日 03:38:51
65,達益食品工業股份有限公司大有廠,99604243,新北市三重區中正北路三四三、三四五號,35466600,121.47297,25.07177,中華民國59年08月23日 03:38:51
66,易成食品企業有限公司,99612669,新北市三重區重陽路一段一一三巷一弄三九號,36252330,121.48789,25.05882,中華民國59年08月23日 03:38:51
67,貴州醬業有限公司,99603622,新北市三峽區橫溪路九九巷二六號,1864046,121.40032,24.93658,中華民國59年08月23日 03:38:51
68,寶島油脂股份有限公司,99603846,新北市土城區慶祥街一０二號,86992107,121.43543,24.97264,中華民國59年08月23日 03:38:51
69,品良食品有限公司,99604154,新北市淡水區學府路一九四、一九六號一樓,37507959,121.44693,25.17619,中華民國59年08月23日 03:38:51
70,生豐食品廠有限公司,99689149,新北市中和區中正路一二０六巷一九號一、二樓,23478286,121.48017,25.01152,中華民國59年08月23日 03:38:51
71,奕嘉食品廠,99617796,新北市鶯歌區鶯桃路94巷59弄8號1樓,1871617,121.34159,24.95533,中華民國59年08月23日 03:38:51
72,阜晟企業股份有限公司,99691118,新北市瑞芳區魚坑路二００號,940171,121.79043,25.10977,中華民國59年08月23日 03:38:51
73,銘珍食品廠有限公司,99618971,新北市淡水區下圭柔山一一九之一二號,7553202,121.45279,25.2076,中華民國59年08月23日 03:38:51
74,和益製麵廠股份有限公司板橋廠,99607756,新北市板橋區干城路一三九號三、四樓,16648475,121.45986,24.99329,中華民國59年08月23日 03:38:51
75,萬年春茶業股份有限公司板橋廠,99619903,新北市板橋區廣新里懷仁街一０巷三號,30965830,,,中華民國59年08月23日 03:38:51
76,芳福企業有限公司,99609192,新北市新莊區化成路三七五巷三五、三七號,22057097,121.46399,25.05769,中華民國59年08月23日 03:38:51
77,新北市樹林區農會稻穀加工廠,99600370,新北市樹林區寶園街11號,33421903,121.38649,24.95344,中華民國59年08月23日 03:38:51
78,大安好食品有限公司,99611003,新北市新莊區化成路一九０巷一二號,16650113,121.46626,25.0465,中華民國59年08月23日 03:38:51
79,芬芳烹材股份有限公司,99600563,新北市樹林區武林街9號之6（1~3樓）,84503548,121.41829,25.00216,中華民國59年08月23日 03:38:51
80,蘇州采芝齋食品行,99612481,新北市三重區中正北路一五號,33899201,121.49264,25.06168,中華民國59年08月23日 03:38:51
81,品川實業股份有限公司,99600911,新北市瑞芳區頂坪路七八號,22173693,121.79301,25.10205,中華民國59年08月23日 03:38:51
82,富山共同製茶廠,99609881,新北市三峽區成福路247、249號,1924348,121.42668,24.92503,中華民國59年08月23日 03:38:51
83,大人行實業有限公司,99618781,新北市中和區橋和路九五號,5152960,121.49055,25.00562,中華民國59年08月23日 03:38:51
84,良億食品廠,99689691,新北市中和區自立路一四一巷九號一樓,2368973,121.52281,24.99365,中華民國59年08月23日 03:38:51
85,欣裕食品有限公司,99605944,新北市新店區民權路一五七、一五九號三樓,22247203,121.53403,24.98264,中華民國59年08月23日 03:38:51
